Node,Degree,Betweenness,Closeness,PageRank
0,0.48484848484848486,0.43763528138528146,0.5689655172413793,0.08850807396280012
1,0.2727272727272727,0.053936688311688304,0.4852941176470588,0.057414840497110056
2,0.30303030303030304,0.14365680615680618,0.559322033898305,0.06276686454603017
3,0.18181818181818182,0.011909271284271283,0.4647887323943662,0.03721208153631377
4,0.09090909090909091,0.0006313131313131313,0.3793103448275862,0.020503977347501652
5,0.12121212121212122,0.02998737373737374,0.38372093023255816,0.03381044255357727
6,0.12121212121212122,0.029987373737373736,0.38372093023255816,0.03152901134345504
7,0.12121212121212122,0.0,0.44,0.026464618678806107
8,0.15151515151515152,0.05592682780182781,0.515625,0.03338155566846444
9,0.06060606060606061,0.0008477633477633478,0.4342105263157895,0.009463219565799959
10,0.09090909090909091,0.0006313131313131313,0.3793103448275862,0.020689016083505596
11,0.030303030303030304,0.0,0.36666666666666664,0.009785686547904305
12,0.06060606060606061,0.0,0.3707865168539326,0.011474872305945287
13,0.15151515151515152,0.04586339586339586,0.515625,0.033474187085322404
14,0.06060606060606061,0.0,0.3707865168539326,0.012941600888556285
15,0.06060606060606061,0.0,0.3707865168539326,0.01637633262359366
16,0.06060606060606061,0.0,0.28448275862068967,0.016755401561857987
17,0.06060606060606061,0.0,0.375,0.009677265915396801
18,0.06060606060606061,0.0,0.3707865168539326,0.009544864590131914
19,0.09090909090909091,0.03247504810004811,0.5,0.013077518431081969
20,0.06060606060606061,0.0,0.3707865168539326,0.011224235021037596
21,0.06060606060606061,0.0,0.375,0.01136015256356328
22,0.06060606060606061,0.0,0.3707865168539326,0.01296059860686279
23,0.15151515151515152,0.017613636363636363,0.39285714285714285,0.04114596964602211
24,0.09090909090909091,0.0022095959595959595,0.375,0.01663437445025268
25,0.09090909090909091,0.0038404882154882154,0.375,0.028672962013730707
26,0.06060606060606061,0.0,0.3626373626373626,0.015240392773380823
27,0.12121212121212122,0.02233345358345358,0.4583333333333333,0.027235358397633882
28,0.09090909090909091,0.0017947330447330447,0.4520547945205479,0.01447852177427162
29,0.12121212121212122,0.0029220779220779218,0.38372093023255816,0.028271813832825125
30,0.12121212121212122,0.014411976911976909,0.4583333333333333,0.02303184425091186
31,0.18181818181818182,0.13827561327561325,0.5409836065573771,0.04198548926127872
32,0.36363636363636365,0.145247113997114,0.515625,0.07592643687005646
33,0.5151515151515151,0.30407497594997596,0.55,0.09698041880501741
