Node,Manual_PageRank,NetworkX_PageRank,Absolute_Difference
0,0.09699799992087418,0.08850807396280014,0.008489925958074046
1,0.052877088808290305,0.05741484049711007,0.004537751688819765
2,0.05707847028452403,0.06276686454603018,0.005688394261506156
3,0.03586003292822644,0.03721208153631378,0.001352048608087339
4,0.021978273598737004,0.020503977347501656,0.0014742962512353484
5,0.029111639343383233,0.03381044255357728,0.004698803210194044
6,0.029111639343383233,0.031529011343455045,0.0024173720000718116
7,0.02449062857046488,0.026464618678806114,0.0019739901083412337
8,0.02976600180517546,0.033381555668464444,0.0036155538632889825
9,0.014309358740221673,0.00946321956579996,0.0048461391744217125
10,0.021978273598737004,0.0206890160835056,0.0012892575152314047
11,0.009564809471830868,0.009785686547904307,0.00022087707607343875
12,0.014644990958904841,0.011474872305945289,0.0031701186529595523
13,0.029536551504574106,0.03347418708532241,0.0039376355807483054
14,0.014535916666221872,0.012941600888556289,0.0015943157776655836
15,0.014535916666221872,0.016376332623593663,0.001840415957371791
16,0.016784277833236102,0.01675540156185799,2.887627137811155e-05
17,0.014558775983160816,0.009677265915396803,0.0048815100677640135
18,0.014535916666221872,0.009544864590131916,0.0049910520760899565
19,0.019604698917270038,0.013077518431081972,0.006527180486188066
20,0.014535916666221872,0.011224235021037598,0.0033116816451842744
21,0.014558775983160816,0.011360152563563281,0.003198623419597535
22,0.014535916666221872,0.012960598606862793,0.0015753180593590793
23,0.03152224879776496,0.041145969646022115,0.009623720848257154
24,0.02107587008135139,0.016634374450252683,0.004441495631098708
25,0.021006017999873342,0.028672962013730714,0.007666944013857372
26,0.015043926698597575,0.015240392773380827,0.00019646607478325182
27,0.025639599731680722,0.02723535839763389,0.0015957586659531668
28,0.019573371042753612,0.014478521774271624,0.005094849268481989
29,0.026288311166276453,0.02827181383282513,0.001983502666548679
30,0.024590086183593055,0.023031844250911863,0.001558241932681191
31,0.03715792242959413,0.04198548926127873,0.0048275668316846015
32,0.07169251464266121,0.07592643687005647,0.0042339222273952565
33,0.1009182603005891,0.09698041880501744,0.0039378414955716645
